
O_TF_IN_CUSTOMER,SYS_STATUS,NUMBER,22,,,Y
O_TF_IN_CUSTOMER,CHECKFLG,CHAR,1,,,Y
O_TF_IN_LOCATION,SM_NO,VARCHAR2,64,,,N
O_TF_IN_LOCATION,CARDCODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION,NAME,VARCHAR2,128,,,Y
O_TF_IN_LOCATION,STATUS,NUMBER,22,,,Y
O_TF_IN_LOCATION,TYPE,NUMBER,22,,,Y
O_TF_IN_LOCATION,AREA,NUMBER,22,,,Y
O_TF_IN_LOCATION,RING,NUMBER,22,,,Y
O_TF_IN_LOCATION,PHONENUMBER,VARCHAR2,32,,,Y
O_TF_IN_LOCATION,MOBILE,VARCHAR2,32,,,Y
O_TF_IN_LOCATION,CUSTOMER_CODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION,ADDRESS,VARCHAR2,128,,,Y
O_TF_IN_LOCATION,NEXT_PLAN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION,OPERSYSTEM,VARCHAR2,128,,,Y
O_TF_IN_LOCATION,DATA_BASE,VARCHAR2,128,,,Y
O_TF_IN_LOCATION,SOFT_EDITION,VARCHAR2,128,,,Y
O_TF_IN_LOCATION,AD_VIDEO,NUMBER,22,,,Y
O_TF_IN_LOCATION,INSERT_TIME,DATE,7,,,Y
O_TF_IN_LOCATION,SYN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION,SYS_STATUS,NUMBER,22,,,Y
O_TF_IN_LOCATION,DESCRIPTION,VARCHAR2,512,,,Y
O_TF_IN_LOCATION,CHECKFLG,CHAR,1,,,Y
O_TF_IN_LOCATION_CHANGE,SM_NO,VARCHAR2,64,,,N
O_TF_IN_LOCATION_CHANGE,PLAN_NO,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CHANGE,CUSTOMER_CODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CHANGE,OLD_CARDCODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CHANGE,CARDCODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CHANGE,TYPE,NUMBER,22,,,Y
O_TF_IN_LOCATION_CHANGE,AREA,NUMBER,22,,,Y
O_TF_IN_LOCATION_CHANGE,RING,NUMBER,22,,,Y
O_TF_IN_LOCATION_CHANGE,PHONENUMBER,VARCHAR2,32,,,Y
O_TF_IN_LOCATION_CHANGE,MOBILE,VARCHAR2,32,,,Y
O_TF_IN_LOCATION_CHANGE,ADDRESS,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_CHANGE,NEXT_PLAN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_CHANGE,OPERSYSTEM,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_CHANGE,DATA_BASE,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_CHANGE,SOFT_EDITION,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_CHANGE,AD_VIDEO,NUMBER,22,,,Y
O_TF_IN_LOCATION_CHANGE,DESCRIPTION,VARCHAR2,512,,,Y
O_TF_IN_LOCATION_CHANGE,INSERT_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_CHANGE,SYN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_CHANGE,SYS_STATUS,NUMBER,22,,,Y
O_TF_IN_LOCATION_CHANGE,CHECKFLG,CHAR,1,,,Y
O_TF_IN_LOCATION_CHANGE,REQUEST_DATE,DATE,7,,,Y
O_TF_IN_LOCATION_CLOSE,SM_NO,VARCHAR2,64,,,N
O_TF_IN_LOCATION_CLOSE,PLAN_NO,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CLOSE,CUSTOMER_CODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CLOSE,CARDCODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_CLOSE,INSERT_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_CLOSE,SYN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_CLOSE,SYS_STATUS,NUMBER,22,,,Y
O_TF_IN_LOCATION_CLOSE,CHECKFLG,CHAR,1,,,Y
O_TF_IN_LOCATION_CLOSE,REQUEST_DATE,DATE,7,,,Y
O_TF_IN_LOCATION_MOVE,SM_NO,VARCHAR2,64,,,N
O_TF_IN_LOCATION_MOVE,PLAN_NO,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_MOVE,CUSTOMER_CODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_MOVE,CARDCODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_MOVE,TYPE,NUMBER,22,,,Y
O_TF_IN_LOCATION_MOVE,AREA,NUMBER,22,,,Y
O_TF_IN_LOCATION_MOVE,RING,NUMBER,22,,,Y
O_TF_IN_LOCATION_MOVE,PHONENUMBER,VARCHAR2,32,,,Y
O_TF_IN_LOCATION_MOVE,MOBILE,VARCHAR2,32,,,Y
O_TF_IN_LOCATION_MOVE,OLD_ADDRESS,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_MOVE,ADDRESS,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_MOVE,NEXT_PLAN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_MOVE,OPERSYSTEM,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_MOVE,DATA_BASE,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_MOVE,SOFT_EDITION,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_MOVE,AD_VIDEO,NUMBER,22,,,Y
O_TF_IN_LOCATION_MOVE,DESCRIPTION,VARCHAR2,512,,,Y
O_TF_IN_LOCATION_MOVE,INSERT_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_MOVE,SYN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_MOVE,SYS_STATUS,NUMBER,22,,,Y
O_TF_IN_LOCATION_MOVE,CHECKFLG,CHAR,1,,,Y
O_TF_IN_LOCATION_MOVE,REQUEST_DATE,DATE,7,,,Y
O_TF_IN_LOCATION_OPEN,SM_NO,VARCHAR2,64,,,N
O_TF_IN_LOCATION_OPEN,PLAN_NO,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_OPEN,CUSTOMER_CODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_OPEN,CARDCODE,VARCHAR2,64,,,Y
O_TF_IN_LOCATION_OPEN,ASSET_MODEL,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_OPEN,ASSET_NUM,NUMBER,22,,,Y
O_TF_IN_LOCATION_OPEN,TYPE,NUMBER,22,,,Y
O_TF_IN_LOCATION_OPEN,AREA,NUMBER,22,,,Y
O_TF_IN_LOCATION_OPEN,PHONENUMBER,VARCHAR2,32,,,Y
O_TF_IN_LOCATION_OPEN,MOBILE,VARCHAR2,32,,,Y
O_TF_IN_LOCATION_OPEN,ADDRESS,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_OPEN,NEXT_PLAN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_OPEN,OPERSYSTEM,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_OPEN,DATA_BASE,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_OPEN,SOFT_EDITION,VARCHAR2,128,,,Y
O_TF_IN_LOCATION_OPEN,AD_VIDEO,NUMBER,22,,,Y
O_TF_IN_LOCATION_OPEN,DESCRIPTION,VARCHAR2,512,,,Y
O_TF_IN_LOCATION_OPEN,INSERT_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_OPEN,SYN_TIME,DATE,7,,,Y
O_TF_IN_LOCATION_OPEN,SYS_STATUS,NUMBER,22,,,Y
O_TF_IN_LOCATION_OPEN,RING,NUMBER,22,,,Y
O_TF_IN_LOCATION_OPEN,CHECKFLG,CHAR,1,,,Y
O_TF_IN_LOCATION_OPEN,REQUEST_DATE,DATE,7,,,Y
O_TF_IN_PART,SM_NO,VARCHAR2,64,,,N
