旧字典表名,来源
TMC44_SYSLOCK,旧字典doc抽取
TMM01_COMPANY,旧字典doc抽取
TMM02_COUNTRY,旧字典doc抽取
TMM03_PROVINCE,旧字典doc抽取
TMM04_CITY,旧字典doc抽取
TMM05_TOWN,旧字典doc抽取
TMM11_ITEMCLASS,旧字典doc抽取
TMM12_ITEMS,旧字典doc抽取
TMM18_SUPPLIERCLASS,旧字典doc抽取
TMM19_SUPPLIERS,旧字典doc抽取
TMM21_CUSTCLASS,旧字典doc抽取
TMM22_CUSTOMERS,旧字典doc抽取
TMM24_CUSTITEMS,旧字典doc抽取
TMM31_SYSCODES,旧字典doc抽取
TMM32_SYSCODESDT,旧字典doc抽取
TMM32_SYSCODESDTCODETYP,旧字典doc抽取
TMM33_MESSAGE,旧字典doc抽取
TMM34_IDMASTER,旧字典doc抽取
TMM35_CUST_POS_RL,旧字典doc抽取
TMM36_CUST_VE_RL,旧字典doc抽取
TMM38_ITEMPRICE,旧字典doc抽取
TMM39_ADJPRICE,旧字典doc抽取
TMM40_LABEL,旧字典doc抽取
TMM41_BOM,旧字典doc抽取
TMM41_BOMBOM,旧字典doc抽取
TMM42_BOMDT,旧字典doc抽取
TMM43_EID,旧字典doc抽取
TMM44_POS_R_EID,旧字典doc抽取
TMM45_SUPPAPPRAISAL,旧字典doc抽取
TPC01_PCPLAN,旧字典doc抽取
TPC02_PCPLANDT,旧字典doc抽取
TPC03_PCPLANSTATUS,旧字典doc抽取
TPC12_REGISTER,旧字典doc抽取
TPC13_REGISTERDT,旧字典doc抽取
TPC16_RPCBILL,旧字典doc抽取
TPC17_RPCBILLDT,旧字典doc抽取
TPC20_SUPPAPPRAISAL,旧字典doc抽取
TPC20_SUPPAPPRAISALDT,旧字典doc抽取
TQC10_RESULT,旧字典doc抽取
TQC11_RESULTDT,旧字典doc抽取
TQC11_RESULTDTEID,旧字典doc抽取
TQC12_RESULTDTEID,旧字典doc抽取
TRAIN_DATE,旧字典doc抽取
TSL01_EXTEND,旧字典doc抽取
TSL02_EXTENDDT,旧字典doc抽取
TSL10_SLBILL,旧字典doc抽取
TWH01_WAREHOUSE,旧字典doc抽取
