id,menu_cd,func_cd,func_nm,created_at,updated_at,useflg
159,proc-settlements,create,创建,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
161,proc-settlements,delete,删除,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
160,proc-settlements,edit,编辑,2026-05-23 16:00:36.836036,2026-05-23 16:00:36.836036,1
147,proc-settlements,view,查看,2026-05-23 15:57:35.693637,2026-05-23 15:57:35.693637,1
109,process-defs,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
53,procurement,view,查看,2026-05-15 11:20:02.633499,2026-05-15 11:20:02.633499,1
65,qc,view,查看,2026-05-15 12:07:23.612659,2026-05-15 12:07:23.612659,1
126,qc-audit,view,查看,2026-05-16 07:17:54.522813,2026-05-16 07:17:54.522813,1
125,qc-input,view,查看,2026-05-16 07:17:54.522813,2026-05-16 07:17:54.522813,1
66,qc-results,view,查看,2026-05-15 12:07:23.612659,2026-05-15 12:07:23.612659,1
77,ratings,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
92,receivables,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
64,recycle,view,查看,2026-05-15 12:07:23.612659,2026-05-15 12:07:23.612659,1
58,renovate,view,查看,2026-05-15 11:42:09.92763,2026-05-15 11:42:09.92763,1
76,repairs,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
118,reports,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
119,reports-center,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
46,sales,view,查看,2026-05-15 10:38:07.940077,2026-05-15 10:38:07.940077,1
62,sales-bills,view,查看,2026-05-15 12:07:23.612659,2026-05-15 12:07:23.612659,1
70,sales-extend,view,查看,2026-05-15 18:25:11.280536,2026-05-15 18:25:11.280536,1
171,sales-imple,view,查看,2026-06-24 18:51:32.436344,2026-06-24 18:51:32.436344,1
170,sales-serves,view,查看,2026-06-24 18:51:32.436344,2026-06-24 18:51:32.436344,1
78,sla,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
79,sla-defs,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
80,sla-tickets,view,查看,2026-05-15 23:43:12.564798,2026-05-15 23:43:12.564798,1
67,stock,view,查看,2026-05-15 13:14:59.126493,2026-05-15 13:14:59.126493,1
51,stock-in,view,查看,2026-05-15 11:15:55.499867,2026-05-15 11:15:55.499867,1
167,stock-movement,view,查看,2026-05-29 10:33:31.095165,2026-05-29 10:33:31.095165,1
52,stock-out,view,查看,2026-05-15 11:15:55.499867,2026-05-15 11:15:55.499867,1
60,store-close,view,查看,2026-05-15 11:56:39.418174,2026-05-15 11:56:39.418174,1
